Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
3,Yes,6,7,No,14,5,Extrovert
2,No,8,6,No,7,8,Extrovert
1,No,9,4,No,9,3,Extrovert
8,No,0,0,Yes,9,3,Introvert
5,Yes,3,0,No,2,6,Introvert
0,No,7,3,Yes,6,4,Extrovert
1,No,7,6,No,11,6,Extrovert
6,No,4,6,No,8,4,Extrovert
8,No,3,4,Yes,9,3,Introvert
6,Yes,6,3,No,7,4,Introvert
4,Yes,1,0,Yes,8,4,Introvert
4,No,10,3,Yes,12,10,Extrovert
2,No,6,5,Yes,9,4,Extrovert
1,No,10,3,No,6,3,Extrovert
9,Yes,4,2,Yes,5,2,Introvert
0,No,10,5,Yes,14,9,Extrovert
5,No,4,4,No,7,9,Extrovert
9,Yes,4,3,Yes,6,6,Introvert
6,No,7,7,No,15,5,Extrovert
4,Yes,5,0,No,3,5,Introvert
9,Yes,6,0,Yes,8,3,Introvert
0,No,9,5,No,9,3,Extrovert
1,No,10,5,No,12,3,Extrovert
3,No,1,3,Yes,6,1,Introvert
0,No,4,5,No,6,6,Extrovert
9,No,0,0,Yes,1,4,Introvert
8,No,3,2,Yes,0,6,Introvert
10,Yes,1,2,Yes,0,0,Introvert
8,Yes,2,3,Yes,3,2,Introvert
5,Yes,3,3,Yes,7,6,Introvert
10,No,3,0,No,6,6,Introvert
5,No,1,0,Yes,0,1,Introvert
5,Yes,8,5,No,13,5,Extrovert
2,Yes,9,3,No,15,3,Extrovert
6,Yes,3,2,Yes,8,2,Introvert
4,No,9,4,No,7,10,Extrovert
0,No,7,3,No,8,10,Extrovert
10,Yes,0,0,Yes,2,5,Introvert
5,No,9,7,No,12,5,Extrovert
1,No,4,6,No,5,7,Extrovert
5,Yes,0,0,Yes,4,5,Introvert
3,No,8,3,No,7,6,Extrovert
3,No,8,3,No,6,3,Extrovert
8,Yes,5,1,Yes,5,6,Introvert
4,Yes,0,0,Yes,6,4,Introvert
9,Yes,1,0,Yes,9,6,Introvert
3,No,4,6,Yes,6,4,Extrovert
9,Yes,2,0,No,5,1,Introvert
8,No,1,2,No,0,4,Introvert
7,Yes,5,4,No,2,6,Introvert
6,No,1,3,Yes,2,0,Introvert
5,Yes,6,1,No,4,5,Introvert
6,No,8,3,No,5,9,Extrovert
8,Yes,4,4,Yes,6,6,Introvert
5,No,6,6,No,7,7,Extrovert
11,Yes,3,4,No,3,4,Introvert
7,Yes,0,4,Yes,9,5,Introvert
3,No,10,4,No,14,10,Extrovert
4,No,10,4,No,15,6,Extrovert
4,Yes,0,0,Yes,4,3,Introvert
0,Yes,5,5,No,6,7,Extrovert
1,No,4,4,No,14,4,Extrovert
4,No,6,3,Yes,1,4,Introvert
4,No,4,7,Yes,8,4,Extrovert
0,No,6,3,Yes,8,4,Extrovert
6,No,10,7,No,11,7,Extrovert
0,No,9,3,No,8,10,Extrovert
5,No,6,3,No,13,5,Extrovert
11,Yes,5,3,Yes,4,4,Introvert
3,No,6,7,Yes,11,10,Extrovert
